"Spot","Spot_alt","10m_Gel1_IS","10m_Gel1_Total (Cy3)","10m_Gel1_Carbonyl (Cy5)","10m_Gel2_IS","10m_Gel2_Total (Cy3)","10m_Gel2_Carbonyl (Cy5)","10m_Gel3_IS","10m_Gel3_Total (Cy3)","10m_Gel3_Carbonyl (Cy5)","10m_Gel4_IS","10m_Gel4_Total (Cy3)","10m_Gel4_Carbonyl (Cy5)","30m_Gel1_IS","30m_Gel1_Total (Cy3)","30m_Gel1_Carbonyl (Cy5)","30m_Gel2_IS","30m_Gel2_Total (Cy3)","30m_Gel2_Carbonyl (Cy5)","30m_Gel3_IS","30m_Gel3_Total (Cy3)","30m_Gel3_Carbonyl (Cy5)","30m_Gel4_IS","30m_Gel4_Total (Cy3)","30m_Gel4_Carbonyl (Cy5)","75m_Gel1_IS","75m_Gel1_Total (Cy3)","75m_Gel1_Carbonyl (Cy5)","75m_Gel2_IS","75m_Gel2_Total (Cy3)","75m_Gel2_Carbonyl (Cy5)","75m_Gel3_IS","75m_Gel3_Total (Cy3)","75m_Gel3_Carbonyl (Cy5)","75m_Gel4_IS","75m_Gel4_Total (Cy3)","75m_Gel4_Carbonyl (Cy5)"
586,141,6270777.40372996,473120.906244773,2022881.08662751,8297287.18694021,560069.769651429,2729582.64298754,6049333.59964285,414750.865538166,1874712.83789245,3925168.1247602,322444.077171472,1317142.57434877,4659838.27706298,1040492.10087035,4203211.1291802,5774382.46544163,1176512.52008398,4925814.54661399,5027409.65486584,1052097.11459769,4189238.66096927,4628378.23980451,981212.293114752,3343305.56442694,6971801.74439758,3564846.52945536,13287820.5857187,6663683.47686131,3085863.56472456,12587551.3267314,5753021.77535962,2914934.06965617,10094585.997594,6457507.95766445,2962405.85098835,11543204.3448841
588,142,2744355.37123656,213795.992727853,526689.301463315,3165253.00023842,249281.996024458,680908.398855147,3410729.70914583,252178.786349598,622186.382888154,2301802.15063455,188380.999385239,566453.873674014,2509212.42562086,558290.576874445,1119560.50081982,2577034.49989533,552029.680665177,1346645.06493205,2633446.93231705,577649.676691849,1171811.11654261,1848740.37242597,410538.173989117,919202.433606944,3450935.94063312,1650598.46137799,3232291.84998446,2627195.20861899,1209685.656679,2609788.72407164,2388172.56270991,1144405.97654177,2029243.2841802,3248522.37715129,1580012.03547579,2605255.10231821
590,143,17790932.9060167,1265230.90233607,3798487.35648489,23429940.7466207,1494571.8482129,4853473.44118315,27066407.2751452,1767602.24504404,4804034.69024598,11810567.7291288,885909.354472923,2712873.1645393,11416107.1118954,2443535.61699036,7647701.13676194,16540252.070494,3135532.72991501,9914945.23472113,15260266.293198,2937737.04226436,10290035.4522155,12930370.6487646,2493586.51386825,7706089.32054979,19247433.5064169,9159393.89912678,27747518.0759344,18511868.4479669,8004567.55719024,27826845.3767484,14942234.9680503,7298666.39395709,21663129.1203727,17957876.8408878,7663825.39737148,26082498.0290956
579,144,2522190.16515245,169995.196073021,942307.400729311,2803567.13940727,168225.587700738,823707.570119748,2790730.04656901,184525.781885723,649186.950765736,1539416.20383212,114337.280229887,623988.143422063,1370130.6488355,273533.001112429,1671491.45788556,1954938.39183073,381695.255374157,1835476.27168113,1935032.96369226,414429.270296687,1794435.38127794,1666524.05407981,343431.633987663,1413682.82824795,2562046.99323404,1203649.02344591,6529728.27669796,2551390.68676363,1079046.95382504,5418533.15063903,2472835.63951266,1230949.85618801,4644719.2103486,2468896.31536992,1067110.6587704,4413155.85185678
591,145,387480.342357427,33103.8165779184,148146.49398456,489051.756420842,39536.3344047144,134615.651660257,673482.231350998,50272.5825512195,151917.839496643,409731.417397848,37052.5774351135,67167.4044207525,317101.470014812,79183.0111571027,112997.099923569,384953.559005745,90547.4280621597,133781.455233901,458571.185058477,106344.589144915,177691.748609069,346362.739229595,83959.7916452542,145633.20453284,605269.76649896,314432.396610267,326495.516666468,523880.880843445,263956.293865491,318659.00633989,575801.731328208,289184.580277621,260597.874812161,661901.49398189,331997.832801784,279020.425238364
577,146,28387.3074663337,2444.3662400488,40114.3710251543,70511.1773667543,5597.0808537078,55452.7918961311,55047.0274008517,2945.7172150011,46187.313284242,60696.1805529154,4875.0574307743,42377.411097693,79601.1555307813,18324.0672573916,77514.358362152,81438.6891869195,20913.1200298521,76775.0772083932,61640.492727317,14115.9161527387,43598.5842987133,48569.7738457291,9303.8457780432,52596.0936836599,43119.3937510043,23618.0042532601,62291.36359146,125201.62570739,66219.5860061668,107160.092243849,69323.6368854194,33232.1225565907,58289.8069097613,70359.2158038492,35460.4703722734,47169.7034145754
628,147,22007435.4852251,1776848.7730872,2536117.39176729,22443795.5249735,1569422.49635406,2767151.59382187,12441204.1924936,921725.855451383,2351724.86011827,17621140.7592186,1512715.17426603,2339670.85119803,25359625.7688678,5918672.09721662,8057493.1585907,25682667.7150858,4974000.14223154,8045168.90825392,22303053.8497445,4708723.40178486,6727386.29292841,36831420.4535648,7702696.29478511,10230062.555098,34141142.6827171,17632197.7754667,25797091.3653718,25154847.8506514,11025567.4336645,16444544.914974,19298318.655975,9444350.19981807,13285981.1409823,19821079.3910492,10193917.1252879,13838728.5084075
606,148,9731841.70935291,854503.433076991,1303128.7617194,10729601.8644212,786528.532798828,1337344.11311884,12734897.6051742,1090668.1769689,1645080.26072982,8695219.67349563,813950.405569843,1307645.70290623,9979806.46688491,2513308.19309534,3675466.83618321,11848933.1672267,2442669.40868814,3609000.24357889,14688824.4796269,3429608.71231984,5051220.5166495,14362758.7490179,3280118.79205698,3791640.8039062,18113274.8290685,10017322.5223778,12500939.2596926,15183215.1041011,6969486.11712488,9624415.28041347,9043757.85469939,4786557.32740109,6832892.17777483,11749013.9015807,6386783.32699876,8327206.68696556
595,149,238204.129538144,17810.7858778577,86025.0330713952,292607.728540406,23287.7273266785,77935.9471803887,233936.793230935,16212.1985596236,77191.2543425776,182465.338960254,14611.0847441511,69159.8854134238,243624.959478282,55114.0299408941,93883.1978179935,171944.708846929,36329.2332521502,83053.5173085255,209753.125436684,45959.0087693433,83176.9198223915,206636.355315157,40374.1200320639,77285.1287284458,317085.680943827,160611.525690641,160317.536205773,282207.525645152,132736.821458154,173658.467119706,331661.004138009,154736.351086981,158845.056463465,257086.157695892,124352.56463031,120012.980509504
572,150,4570186.64571333,370209.978681405,387606.913936211,4843642.74373123,348566.793480208,385826.720600549,4620092.73419048,369713.331511199,363366.154704178,2837324.63685215,257782.130242529,255907.752029038,4076787.18712172,984967.128591038,895731.862114049,5622669.82759047,1130824.8828189,1122911.6147596,5453419.3149485,1224459.02379293,1054371.113714,3993739.65290923,912083.640472194,845995.038497241,5133939.24713662,2678720.13678999,2604478.23221825,5501258.59750292,2437719.31060124,2739119.04952144,5582878.80166712,2849713.67363183,2485535.08144318,5692068.64569738,2963327.29639288,2631704.69483585
