Spot,C_Gel1_IS,C_Gel1_Total (Cy3),C_Gel1_Carbonyl (Cy5),C_Gel2_IS,C_Gel2_Total (Cy3),C_Gel2_Carbonyl (Cy5),C_Gel3_IS,C_Gel3_Total (Cy3),C_Gel3_Carbonyl (Cy5),C_Gel4_IS,C_Gel4_Total (Cy3),C_Gel4_Carbonyl (Cy5),T_Gel1_IS,T_Gel1_Total (Cy3),T_Gel1_Carbonyl (Cy5),T_Gel2_IS,T_Gel2_Total (Cy3),T_Gel2_Carbonyl (Cy5),T_Gel3_IS,T_Gel3_Total (Cy3),T_Gel3_Carbonyl (Cy5),T_Gel4_IS,T_Gel4_Total (Cy3),T_Gel4_Carbonyl (Cy5)
574,1160752.08725516,94846.0073851523,239263.139932613,1577619.805565,123066.064101179,262915.000105602,1544527.32758295,126400.517264797,253113.56241032,987189.276327357,90979.408167852,192381.502350804,1209331.38503714,71435.6634019496,262986.639951524,1686938.22354916,116597.504920925,340459.911020723,970387.334594791,34159.0879622671,225237.254773569,1542339.61162569,104315.790231803,253550.654558646
635,94430313.3180643,8181191.40395448,2908274.31281236,98845378.1674892,7584317.58758729,2899714.0377714,104442730.412726,8342727.90489985,2905496.90381221,90818475.365981,8129854.2972944,2688410.06980167,77779473.5514189,3735208.22859005,3209569.11832211,86364612.0124813,4330884.26746807,3571337.91912919,69073945.3227441,1709594.66374151,2233305.3030548,132160893.188895,7707299.64826313,4605435.12052659
625,11814899.8488736,1091108.42628413,1535890.39779398,14026098.2048615,1067988.20229229,1533442.56224216,20153179.164783,1636948.22657537,2532141.05160464,10088917.0793536,977060.191536875,1073109.2271565,6617378.0048464,283526.301647948,1123526.39865704,10551828.3099513,449885.780833682,1444304.56292831,7956091.94903619,186601.228280963,734833.845704723,17189076.0526818,812477.334065358,1800347.83433601
627,2928755.00989861,227591.774568653,800839.11138649,3103474.11808246,201859.753787616,754907.618707272,1360596.69987897,91729.62876033,427166.04106776,2396820.586683,191371.971258449,700988.792212644,1959140.05429775,117176.250445188,743001.043477828,2496655.35397988,164767.108525049,855542.926031175,2964250.90334173,93607.8876203156,772823.697780159,2934449.60202474,198932.835679098,772079.382608638
619,8854934.19731888,733945.762762812,519028.092878629,9401483.09125708,762148.28890644,883193.537330018,9550605.85236257,712602.955493134,590399.815466606,8232367.15764783,692192.951852276,508231.340679029,9901721.72108295,678627.000744181,732562.393202885,10332607.8834134,757729.633836938,705201.460640377,7551545.41207401,298867.178489015,495984.90730806,7986110.7030935,558134.788637305,437352.901612
602,772948.113566052,71578.325067018,115121.084901846,420988.803215453,38962.2771547901,125771.836142449,697706.85513982,62891.657151217,104804.811086215,540757.178380679,55942.1590298034,97041.5372571931,624582.280466921,40215.1054746164,132215.376392057,649319.915075513,40647.4881136164,124207.47144333,682771.955330142,22923.4528671353,114867.521654664,776978.474151043,51290.7131129495,221985.391581826
594,171567.674863848,13501.301529843,35049.2264831215,177421.441368674,15347.3346740015,24765.2374314765,279043.211562001,18318.2271016728,36915.0269977361,226373.386782638,18404.500947153,27441.2143474796,161033.925047218,10166.3652470879,31363.001538004,213407.894247822,14356.3931789671,35805.0730886306,174046.439214312,6593.1054726785,34016.1552950529,193296.391966755,14231.3753395419,36362.7996125142
622,7135819.9528806,637199.359863359,1026919.25367787,7611900.6119652,555822.995792469,1247184.04219776,6819616.65428727,539335.33750553,900961.516953076,6136372.51171568,557151.169136546,947978.306350422,6874585.58291496,407723.537690009,1152103.63655613,10300602.1315063,609004.379030579,1383840.1038134,5734091.06782037,180282.116064492,761153.5203182,7518541.2888961,483029.962272691,831058.031418571
661,25130454.7661839,1784029.50722215,2526716.8551991,31923863.5064789,1995836.90123374,3035271.25635454,27725079.197312,1874579.83621109,2688288.82142923,18113225.872212,1449379.33131811,1854979.61994203,25689019.9198803,2807207.77833991,4330226.11519222,34010975.0267253,3763833.09092083,5321237.18266632,22629476.6593209,1288972.88929319,3106811.40155384,35337931.9945076,4118823.05166411,5568810.72818612
597,416032.131527691,36614.3154069017,198210.17455475,327272.944114642,24498.3251571538,166036.962900155,341315.117692664,27835.6277434199,171988.145655567,310743.906553784,30183.1827203173,127636.82781845,376278.970535229,31776.8001212876,594233.202635715,513233.361837274,39924.6167117058,597659.17298575,405094.789563787,16403.3468379207,358758.339248711,167495.260142311,16958.4819255698,301922.363296148
633,32711596.114918,2754756.26329077,2361634.56120596,33142201.4382016,2335979.66623081,2506409.28021767,27045547.3457897,2148323.63904385,1948717.99329471,23856559.4178518,2179500.45334963,1728824.78192616,31868621.5225425,1583349.63442046,2417624.8865321,36170181.3464904,1828724.79098232,2725636.73399862,30724489.0742296,800245.194398735,1762229.01382911,53655683.954459,2834869.89296905,3457034.47619213
604,186946.923993534,16447.7651824198,36000.0521391475,147262.70008993,12586.2142329484,70781.8257872373,144072.989200551,12004.2568710146,28034.8911379259,147791.000213532,12611.705525539,30447.6000239074,127094.933464183,7456.0828210336,36384.3984536506,167488.844546503,9872.7777367576,27945.7217908174,135785.576303271,4749.5822708542,32278.1952892184,155961.413898816,9649.1233104771,23671.5857488284
620,2501341.8354292,223928.653680325,187796.081722328,2361490.33262289,204688.431555922,224098.294111173,2763481.31110905,229471.905599687,229670.930170442,2663944.29181905,250985.752736869,158884.573438704,2265326.60416185,132587.684124637,258849.30788597,2486326.83642732,151365.175769845,174361.476152532,2125312.99636304,64184.4719443041,190574.856164238,2711387.91267717,148088.19452755,164419.327360308
