"SampleName","glycan","area","narea"
"B_11","GP2",127996,0.70785387868764
"B_12","GP2",148769,0.718047111099484
"B_13","GP2",151937,0.729551670746648
"B_14","GP2",151702,0.720378493362253
"B_15","GP2",155138,0.710554466804303
"B_16","GP2",140329,0.705289371239067
"B_17","GP2",135103,0.697314084244613
"B_18","GP2",135531,0.706947253402651
"B_19","GP2",149540,0.707407183319269
"B_20","GP2",131462,0.743151084511488
"B_21","GP2",142883,0.701692128827734
"B_22","GP2",133709,0.714790478648047
"B_23","GP2",143614,0.696636920194826
"B_24","GP2",98651,0.702574844827966
"C_01","GP2",158255,0.717105983103115
"C_02","GP2",144837,0.691353619092065
"C_03","GP2",144054,0.698818541923218
"C_04","GP2",146215,0.696659797028836
"C_05","GP2",143984,0.700074702381705
"C_06","GP2",149978,0.710298090954888
"C_07","GP2",145179,0.683087285963255
"C_08","GP2",116873,0.717138495113036
"C_09","GP2",132288,0.681593387357042
"C_10","GP2",138919,0.716337121030081
"C_11","GP2",137670,0.704049134007292
"C_12","GP2",142144,0.689411028975934
"C_13","GP2",132486,0.695449416718743
"C_14","GP2",147495,0.684461251567063
"C_15","GP2",120879,0.694965431680418
"C_16","GP2",137605,0.681590445400199
"C_17","GP2",144569,0.706054011820589
"C_18","GP2",145117,0.691716090053077
"C_19","GP2",146031,0.709424584961769
"C_20","GP2",142701,0.701015428715827
"C_21","GP2",154379,0.69774318075688
"C_22","GP2",146062,0.698507912648205
"C_23","GP2",139087,0.707487617555146
"C_24","GP2",146566,0.735350265966547
"D_01","GP2",128447,0.7153131033942
"D_02","GP2",152832,0.704428187912967
"D_03","GP2",124418,0.681653309235663
"D_04","GP2",117024,0.692619949305883
"D_05","GP2",112107,0.686449001830151
"D_06","GP2",153448,0.695133616207402
"D_07","GP2",143118,0.69542848507495
"D_08","GP2",146400,0.680747412299599
"D_09","GP2",143491,0.686811957327683
"D_10","GP2",122566,0.696646144954871
"D_11","GP2",135756,0.691821139804834
"D_12","GP2",137056,0.704291250660132
"D_13","GP2",146888,0.680116478420141
"D_14","GP2",138430,0.676477206950079
"D_15","GP2",143255,0.6721713191107
"D_16","GP2",136448,0.669852748056564
"D_17","GP2",145145,0.689502011809583
"D_18","GP2",146967,0.674665187639892
"D_19","GP2",131991,0.681245629020978
"D_20","GP2",144208,0.688122195323958
"D_21","GP2",144016,0.697456228708458
"D_22","GP2",136981,0.683794142226246
"D_23","GP2",137321,0.661816306250422
"D_24","GP2",137774,0.662767785504419
"E_01","GP2",137676,0.695371613891876
"E_02","GP2",138455,0.688746585678896
"E_03","GP2",138964,0.692654864790893
"E_04","GP2",136286,0.684140633604404
"E_05","GP2",136826,0.722159725521669
"E_06","GP2",135121,0.680643086091092
"E_07","GP2",141462,0.704851688765094
"E_08","GP2",144259,0.702331624733228
"E_09","GP2",142122,0.690275149846903
"E_10","GP2",146664,0.694934428190844
"E_11","GP2",131562,0.689005661481205
"E_12","GP2",143506,0.682936662866493
"E_13","GP2",137902,0.686778817996591
"E_14","GP2",149094,0.690947857335909
"E_15","GP2",140514,0.682801530100529
"E_16","GP2",147945,0.683531657386739
"E_17","GP2",144056,0.680481848944045
"E_18","GP2",137865,0.688420793708504
"E_19","GP2",150277,0.688850560586941
"E_20","GP2",124577,0.690645661692231
"E_21","GP2",146020,0.683825046251384
"E_22","GP2",140174,0.696087668888436
"E_23","GP2",131275,0.691649833139972
"E_24","GP2",138796,0.696309119188229
"E_25","GP2",150420,0.694926037407644
"E_26","GP2",144138,0.679257211988872
"E_27","GP2",148628,0.686378743003465
"E_28","GP2",122933,0.685003601572221
"E_29","GP2",121915,0.688123778857568
"E_30","GP2",138889,0.679289706992152
"E_31","GP2",136472,0.681694700057479
"E_32","GP2",142955,0.695320455155102
"E_33","GP2",130849,0.678701393897855
"E_34","GP2",122582,0.719507437166067
"E_35","GP2",125221,0.699278088534533
"E_35_R2","GP2",100752,0.742918724092837
"E_36","GP2",128052,0.693610809434693
"E_37","GP2",136949,0.691722997843799
"E_38","GP2",171164,0.829988395660129
"E_38_R2","GP2",134619,0.75710291198273
"E_39","GP2",137444,0.709701681470019
"E_39_R2","GP2",128095,0.716355893459572
"E_40","GP2",149186,0.758614875189532
"E_40_R2","GP2",132334,0.735354793100821
"E_41","GP2",139965,0.684726975605981
"E_42","GP2",137990,0.690729384501002
"E_43","GP2",136301,0.702671032508994
"E_44","GP2",138923,0.681959468958849
"E_45","GP2",136035,0.694048473751514
"E_46","GP2",137773,0.708787820700599
"E_47","GP2",164040,0.692841904957076
"E_48","GP2",149981,0.696359126508313
"E_49","GP2",148613,0.697703165853995
"E_50","GP2",137730,0.687573020000123
"E_51","GP2",147793,0.694452700010088
"E_52","GP2",147931,0.690161580602564
"E_53","GP2",166700,0.700073161215006
"E_54","GP2",148124,0.695433218265061
"E_55","GP2",164965,0.700679722830445
"E_56","GP2",162847,0.711945671664368
"E_57","GP2",135992,0.691845244039619
"E_58","GP2",146413,0.68902271558896
"E_59","GP2",144360,0.709689608135414
"E_60","GP2",137908,0.679171295581742
"E_61","GP2",135774,0.696088265308607
"E_62","GP2",144330,0.682906204278334
"E_63","GP2",160511,0.71595086299843
"E_64","GP2",138031,0.682186077445623
"E_65","GP2",138892,0.721101304006927
"E_65_R1","GP2",129661,0.720527026501364
"E_66","GP2",135662,0.697964182813089
"E_67","GP2",150056,0.730318852102451
"E_67_R1","GP2",132414,0.729118939158209
"E_68","GP2",136973,0.687442945417463
"E_69","GP2",120431,0.700419108051618
"E_70","GP2",166458,0.801953116060814
"E_70_R1","GP2",119417,0.766351264533814
"E_71","GP2",136813,0.688077281842013
"E_72","GP2",141296,0.672483248244105
"E_73","GP2",139084,0.692387067688696
"E_74","GP2",163532,0.707035372045954
"E_75","GP2",140114,0.704236147749763
"E_76","GP2",140356,0.697048850631226
"E_77","GP2",174419,0.811761628707913
"E_78","GP2",141024,0.691840671777763
"E_79","GP2",152598,0.704227984568621
"E_80","GP2",150084,0.688093836479372
"E_81","GP2",153883,0.676427820387035
"E_82","GP2",156004,0.704390602387976
"E_83","GP2",150645,0.68847112383605
"E_84","GP2",137619,0.688972406359499
"E_85","GP2",139468,0.689488995653196
"E_86","GP2",157690,0.712069894024456
"E_87_R1","GP2",129065,0.695780234256345
"E_88_R1","GP2",126453,0.698853084670965
"E_89_R1","GP2",131406,0.712971103038013
"E_90_R1","GP2",122303,0.696275150259096
"E_91_R1","GP2",124295,0.72477255628992
"E_92_R1","GP2",134794,0.709482993888332
"E_93_R1","GP2",133798,0.698059756164813
"E_94_R1","GP2",136421,0.68998221647348
"E_95_R1","GP2",131480,0.688897351360494
"E_96_R1","GP2",136301,0.689818275971037
"A_01_R1","GP3",23531,0.129855000675736
"A_02_R1","GP3",19201,0.0994268856388347
"A_03_R1","GP3",20663,0.104340442215023
"A_04_R1","GP3",16645,0.108105699771539
"A_05","GP3",22095,0.128593525556064
"A_06","GP3",18937,0.115830174870718
"A_07","GP3",20846,0.102738838228074
"A_08","GP3",15804,0.122946821532155
"A_09","GP3",18577,0.104120497070143
"A_10","GP3",21860,0.102948145734827
"A_11","GP3",21836,0.108413392638643
"A_12","GP3",23366,0.106612838574812
"A_13","GP3",22206,0.103304492340483
"A_14","GP3",22831,0.103701773122722
"A_15","GP3",25699,0.112175255820824
"A_16","GP3",18490,0.123687980913118
"A_17","GP3",18809,0.100486619369732
"A_18","GP3",20612,0.102636015750734
"A_19","GP3",21137,0.10145717793814
"A_20","GP3",24443,0.125666454300658
"A_21","GP3",20677,0.10673558477261
"A_22","GP3",16998,0.107871805040275
"A_23","GP3",13821,0.145593068164545
"A_24","GP3",22134,0.106745254528644
"B_01","GP3",16557,0.101776819055483
"B_02","GP3",21472,0.100072169222262
"B_03","GP3",19311,0.102080241063935
"B_04","GP3",17497,0.0938827276653463
"B_05","GP3",21373,0.113274753896513
"B_06","GP3",21488,0.112143880682418
"B_07","GP3",22610,0.120645593191597
"B_08","GP3",19940,0.0957801448912461
"B_09","GP3",21542,0.111384721182719
"B_10","GP3",21593,0.105905139736861
"B_11","GP3",18442,0.101989446785505
"B_12","GP3",22990,0.110963326258677
"B_13","GP3",23831,0.114428650464096
"B_14","GP3",23165,0.110002292644372
"B_15","GP3",22297,0.102123483262228
"B_16","GP3",24850,0.124895359300578
"B_17","GP3",17443,0.0900294558335402
"B_18","GP3",18048,0.0941407060333875
"B_19","GP3",21808,0.103163941780304
"B_20","GP3",24216,0.13689238458665
"B_21","GP3",19429,0.0954149644883859
"B_22","GP3",22920,0.122527262716894
"B_23","GP3",19857,0.0963215238368729
"B_24","GP3",14081,0.100282373113527
"C_01","GP3",26357,0.119432323760063
"C_02","GP3",20987,0.100177705999746
"C_03","GP3",20625,0.100053677281897
"C_04","GP3",20779,0.0990041645690401
"C_05","GP3",20516,0.0997522821567886
"C_06","GP3",23289,0.11029705850357
"C_07","GP3",19590,0.0921736610117177
"C_08","GP3",19275,0.118272351127324
"C_09","GP3",19115,0.098487070628703
"C_10","GP3",20120,0.103748967924656
"C_11","GP3",21067,0.107737365483632
"C_12","GP3",22519,0.109219150731013
"C_13","GP3",21460,0.112648464613501
"C_14","GP3",21601,0.100241008136548
"C_15","GP3",16879,0.0970418478092454
"C_16","GP3",19855,0.0983465593068635
"C_17","GP3",20939,0.102263036705734
"C_18","GP3",20733,0.0988261175125619
"C_19","GP3",24670,0.11984787141776
"C_20","GP3",20712,0.101747230640025
"C_21","GP3",26084,0.117891248983751
"C_22","GP3",21977,0.10509994657248
"C_23","GP3",23820,0.121164127849214
"C_24","GP3",28458,0.142779347658229
"D_01","GP3",19341,0.107708788315392
"D_02","GP3",26697,0.123050927375893
"D_03","GP3",17802,0.0975324487695774
"D_04","GP3",16681,0.0987284093380112
"D_05","GP3",16986,0.104007981170551
"D_06","GP3",23317,0.105628164127965
"D_07","GP3",21425,0.104106788054129
